Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
54,Avery Bradley\bradlav01,SG,26,BOS,37,1272,15.6,.562,.348,.116,3.5,18.3,10.9,11.3,2.0,0.5,10.2,22.3,,1.0,1.4,2.4,.089,,0.3,-0.3,0.0,0.6
55,Corey Brewer\breweco01,SF,30,TOT,60,940,7.7,.494,.409,.198,2.6,11.1,6.8,9.0,2.0,0.9,12.5,13.0,,0.1,0.9,1.0,.051,,-2.9,0.0,-2.9,-0.2
55,Corey Brewer\breweco01,SF,30,HOU,58,923,7.6,.491,.414,.194,2.5,11.2,6.8,9.0,2.0,1.0,12.7,13.0,,0.0,0.9,0.9,.048,,-3.0,0.0,-3.0,-0.2
55,Corey Brewer\breweco01,SF,30,LAL,2,17,15.8,.595,.200,.400,6.1,6.6,6.4,8.6,2.9,0.0,0.0,14.8,,0.1,0.0,0.1,.187,,1.6,-1.9,-0.3,0.0
56,Malcolm Brogdon\brogdma01,SG,24,MIL,58,1483,14.2,.546,.297,.218,2.5,9.2,5.9,24.5,2.3,0.4,15.1,18.4,,1.6,1.0,2.7,.087,,0.3,-1.5,-1.2,0.3
57,Aaron Brooks\brookaa01,PG,32,IND,48,663,10.1,.500,.447,.127,2.4,6.3,4.4,22.4,1.6,1.0,17.2,19.6,,-0.2,0.4,0.2,.014,,-1.8,-2.5,-4.3,-0.4
58,Anthony Brown\brownan02,SF,24,TOT,11,159,7.2,.430,.540,.000,5.3,16.9,11.0,7.8,1.5,0.5,10.7,15.6,,-0.2,0.2,0.0,-0.001,,-3.8,-0.5,-4.3,-0.1
58,Anthony Brown\brownan02,SF,24,NOP,9,143,5.9,.415,.585,.000,4.4,14.9,9.6,6.0,1.7,0.6,10.9,14.3,,-0.2,0.1,0.0,-0.011,,-4.4,-0.3,-4.7,-0.1
58,Anthony Brown\brownan02,SF,24,ORL,2,16,18.7,.500,.333,.000,13.4,35.1,24.0,23.4,0.0,0.0,10.0,27.7,,0.0,0.0,0.0,.083,,1.2,-1.5,-0.3,0.0
59,Bobby Brown\brownbo02,PG,32,HOU,18,54,-1.1,.333,.500,.000,0.0,10.3,5.1,5.4,0.0,0.0,6.3,25.2,,-0.2,0.0,-0.2,-0.181,,-9.8,-6.4,-16.2,-0.2
60,Jaylen Brown\brownja02,SF,20,BOS,56,900,10.4,.530,.280,.330,3.9,14.3,9.1,6.4,1.4,1.3,11.5,18.1,,0.2,0.8,1.0,.051,,-3.3,-1.1,-4.4,-0.5
